Session,Speech ID,Speaker,Party,Term,Gender,Number,Specificity,Context
209,1,Präsident Dr. Wolfgang Schäuble,CDU/CSU,Kolleginnen,F,P,N,Morgen liebe Kolleginnen und Kollegen
209,1,Präsident Dr. Wolfgang Schäuble,CDU/CSU,Kollegen,M,P,N,Kolleginnen und Kollegen Bitte nehmen
209,1,Präsident Dr. Wolfgang Schäuble,CDU/CSU,Kollegin,F,S,Y,nachträglich der Kollegin Franziska Gminder
209,1,Präsident Dr. Wolfgang Schäuble,CDU/CSU,Kollegen,M,S,Y,und dem Kollegen Dr Ernst
209,2,Präsident Dr. Wolfgang Schäuble,CDU/CSU,Bundeskanzlerin,F,S,Y,durch die Bundeskanzlerin zur Bewältigung
209,2,Präsident Dr. Wolfgang Schäuble,CDU/CSU,Bundeskanzlerin,F,S,Y,erteile der Bundeskanzlerin das Wort
209,3,Angela Merkel,CDU/CSU,Präsident,M,S,Y,geehrter Herr Präsident Liebe Kolleginnen
209,3,Angela Merkel,CDU/CSU,Kolleginnen,F,P,N,Präsident Liebe Kolleginnen und Kollegen
209,3,Angela Merkel,CDU/CSU,Kollegen,M,P,N,Kolleginnen und Kollegen Meine Damen
209,3,Angela Merkel,CDU/CSU,Bundeskanzlerin,F,S,Y,Arbeit als Bundeskanzlerin der Arbeit
209,3,Angela Merkel,CDU/CSU,Ärztinnen,F,P,N,können unseren Ärztinnen und Ärzten
209,3,Angela Merkel,CDU/CSU,Pflegerinnen,F,P,N,Ärzten und Pflegerinnen und Pflegern
209,3,Angela Merkel,CDU/CSU,Pflegern,M,P,N,Pflegerinnen und Pflegern gar nicht
209,3,Angela Merkel,CDU/CSU,Wissenschaftlerinnen,F,P,N,Warnungen verschiedener Wissenschaftlerinnen und Wissenschaftler
209,3,Angela Merkel,CDU/CSU,Wissenschaftler,M,P,N,Wissenschaftlerinnen und Wissenschaftler hin nicht
209,3,Angela Merkel,CDU/CSU,Coronapatienten,M,P,N,Zahl der Coronapatienten in den
209,3,Angela Merkel,CDU/CSU,Wissenschaftlerinnen,F,P,N,Arbeit fantastischer Wissenschaftlerinnen und Wissenschaftler
209,3,Angela Merkel,CDU/CSU,Wissenschaftler,M,P,N,Wissenschaftlerinnen und Wissenschaftler in Rekordgeschwindigkeit
209,3,Angela Merkel,CDU/CSU,Coronapatienten,M,P,N,um die Coronapatienten kümmern Heute
209,3,Angela Merkel,CDU/CSU,Produzenten,X,X,X,schon zugelassenen Produzenten auch erreichen
209,3,Angela Merkel,CDU/CSU,Friseure,M,P,N,werden die Friseure öffnen Wir
209,3,Angela Merkel,CDU/CSU,Gastronomie,X,X,X,Freizeitgestaltung Dann Gastronomie und Hotels
209,3,Angela Merkel,CDU/CSU,Friseure,M,P,N,Schulen die Friseure und dann
209,3,Angela Merkel,CDU/CSU,Bundeswirtschaftsminister,M,S,Y,sagen Der Bundeswirtschaftsminister und der
