Speaker|Party|Speech ID|Gendered Terms
Präsident Dr. Wolfgang Schäuble||1|[Kolleginnen] Tag liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Bitte nehmen; [Bauer] Abgeordneten Nicole Bauer Katja Suding; [Landwirtschaft] Ernährung und Landwirtschaft f Ausschuss; [Landwirtschaft] Ernährung und Landwirtschaft Ausschuss für; [Köhler] Dr Lukas Köhler Alexander Graf; [Kuratoriums] Mitglieds des Kuratoriums der „Stiftung; [Kuratoriums] Mitgliedern des Kuratoriums der „Bundesstiftung; [Kuratoriums] Mitglieder des Kuratoriums der Stiftung; [Kuratoriums] Mitglieder des Kuratoriums der Stiftung; [Kuratoriums] Mitgliedes des Kuratoriums des Deutschen; [Bauer] Abgeordneten Nicole Bauer Katja Suding; [Schäffler] Abgeordneten Frank Schäffler Christian Dürr; [Verbraucher] Verbraucherinnen und Verbraucher als Darlehensnehmer; [Steuererleichterung] der FDP Steuererleichterung für Eltern; [Schausteller] Krisenüberbrückung für Schausteller ihre Zulieferer; [Zulieferer] Schausteller ihre Zulieferer und Hersteller; [Hersteller] Zulieferer und Hersteller und Ermöglichung
Präsident Dr. Wolfgang Schäuble||2|[Bundesminister] heute der Bundesminister für Gesundheit; [Bundesminister] steht Herr Bundesminister wenn Sie
Jens Spahn||3|[Präsident] Ja Herr Präsident ich will; [Kolleginnen] – Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen wir wähnten; [Testergebnis] Dritte dokumentiertes Testergebnis gibt das
Präsident Dr. Wolfgang Schäuble||4|[Kollege] stellt der Kollege Detlev Spangenberg
Detlev Spangenberg|AfD|5|[Bundesminister] – Herr Bundesminister ich gehe
Präsident Dr. Wolfgang Schäuble||6|[Minister] Herr Minister
Jens Spahn||7|[Kollege] geehrter Herr Kollege Spangenberg die
Präsident Dr. Wolfgang Schäuble||8|[Kollegen] stellt die Kollegen Bärbel Bas
Bärbel Bas|SPD|9|[Bundesminister] – Herr Bundesminister ich teile
Präsident Dr. Wolfgang Schäuble||10|[Minister] Herr Minister
Jens Spahn||11|[Kollegin] Frau Kollegin Bas die
Präsident Dr. Wolfgang Schäuble||12|
Bärbel Bas|SPD|13|[Risikopatienten] Möglichkeit alle Risikopatienten zu impfen; [Arztpraxen] in die Arztpraxen damit gezielt; [Hausärzte] durch ihre Hausärzte geimpft werden
Jens Spahn||14|[Kollegen] und vielen Kollegen aus den; [Arztpraxen] schon begonnen Arztpraxen miteinzubinden Das; [Kollegin] die geschätzte Kollegin Leonhard in; [Krebspatienten] zum Beispiel Krebspatienten in onkologischen; [Präsident] Satz Herr Präsident – in
Präsident Dr. Wolfgang Schäuble||15|
Maria Klein-Schmeink|BÜNDNIS 90/DIE GRÜNEN|16|[Minister] Herr Minister es geht
Jens Spahn||17|[Kollegin] Frau Kollegin KleinSchmeink wir; [Grundschulbeschäftigte] Kita und Grundschulbeschäftigte geimpft werden; [Kollegen] mit den Kollegen Lucha Nonnemacher
Präsident Dr. Wolfgang Schäuble||18|
Christine Aschenberg-Dugnus|FDP|19|[Präsident] Dank Herr Präsident – Sehr; [Minister] geehrter Herr Minister Spahn wir; [Kanzlerin] wurde die Kanzlerin zitiert dass; [Kanzleramtschef] das vom Kanzleramtschef wieder verneint
Jens Spahn||20|[Kollegin] Liebe Frau Kollegin wie Sie; [Kolleginnen] mit den Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen aus den; [Ministerpräsidentinnen] allem den Ministerpräsidentinnen und Ministerpräsidenten; [Ministerpräsidenten] Ministerpräsidentinnen und Ministerpräsidenten weil es
Präsident Dr. Wolfgang Schäuble||21|
Christine Aschenberg-Dugnus|FDP|22|[Minister] – Herr Minister Sie haben; [Friseursalons] März die Friseursalons wieder Das; [Friseursalons] dass die Friseursalons öffnen aber
Jens Spahn||23|[Kollegin] Frau Kollegin ich weiß; [Friseure] März die Friseure wieder öffnen; [Bundesminister] dafür als Bundesminister für Gesundheit
Präsident Dr. Wolfgang Schäuble||24|[Kollege] stellt der Kollege Dr Kraft; [Kollege] dann der Kollege Dr Hoffmann; [Kollege] dann der Kollege Herrmann
Rainer Kraft|AfD|25|[Friseursalon] dass mein Friseursalon öffnen kann; [Friseurtermin] ich einen Friseurtermin brauche sondern; [Dorffriseur] dass mein Dorffriseur überlebt deswegen; [Kollegen] auf die Kollegen der FDP; [Bundesgesundheitsminister] Sie als Bundesgesundheitsminister fragen Halten
Jens Spahn||26|[Kollege] Also Herr Kollege da Sie
Präsident Dr. Wolfgang Schäuble||27|[Kollege] stellt der Kollege Dr Christoph
Christoph Hoffmann|FDP|28|[Präsident] Herr Präsident Herr Minister; [Minister] Präsident Herr Minister Ich komme; [Mitarbeiter] Bewohner 17 Mitarbeiter – 3; [Sozialminister] Der grüne Sozialminister Lucha in
Jens Spahn||29|[Kollege] Herr Kollege wissen Sie
Präsident Dr. Wolfgang Schäuble||30|[Kollege] kommt der Kollege Henke
Lars Herrmann|Fraktionslos|31|[Präsident] Dank Herr Präsident für das; [Minister] – Herr Minister ich wollte; [Friseuren] zu den Friseuren zurückkommen weil; [Friseure] für die Friseure ob sie; [Mitarbeiter] für fünf Mitarbeiter in der; [Friseure] Sinn die Friseure zu impfen; [Friseurtermin] die einen Friseurtermin wahrnehmen möchten; [Friseurhandwerk] Sie dem Friseurhandwerk irgendeine nähere
Jens Spahn||32|[Kollege] Herr Kollege da haben; [Friseure] Öffnung der Friseure am 1; [Testerfordernisse] gibt es Testerfordernisse Für die; [Friseurbesuche] Dazu gehören Friseurbesuche oder möglicherweise; [Ministerpräsidenten] erst den Ministerpräsidenten fragen dann
Präsident Dr. Wolfgang Schäuble||33|
Rudolf Henke|CDU/CSU|34|[Bundesminister] – Herr Bundesminister Spahn die
Jens Spahn||35|[Kollege] Ja Kollege Henke das; [Ministerebene] Abstimmung auf Ministerebene mit dem; [Finanzminister] und dem Finanzminister genau zu
Präsident Dr. Wolfgang Schäuble||36|[Kollege] stellt der Kollege Dr Achim
Achim Kessler|DIE LINKE|37|[Minister] Herr Minister Bundeskanzlerin Angela; [Bundeskanzlerin] Herr Minister Bundeskanzlerin Angela Merkel
Jens Spahn||38|[Kollege] Dank Herr Kollege Kessler –; [Hersteller] Unternehmen und Hersteller etwa das
Präsident Dr. Wolfgang Schäuble||39|[Kollege] – Der Kollege Kessler
Achim Kessler|DIE LINKE|40|
Jens Spahn||41|[Kollege] einmal Herr Kollege Kessler Die; [Hersteller] – der Hersteller ist Milliarden
Präsident Dr. Wolfgang Schäuble||42|[Kollegin] von der Kollegin von Storch; [Kollegin] von der Kollegin Lötzsch –
Beatrix von Storch|AfD|43|[Präsident] Dank Herr Präsident – Herr; [Minister] – Herr Minister ich möchte
Jens Spahn||44|[Kollegen] dass Ihre Kollegen Gesundheitspolitiker Sie; [Gesundheitspolitiker] Ihre Kollegen Gesundheitspolitiker Sie vielleicht
Präsident Dr. Wolfgang Schäuble||45|
Gesine Lötzsch|DIE LINKE|46|[Kollegen] Frage meines Kollegen Dr Kessler
Jens Spahn||47|[Kollegin] Frau Kollegin Lötzsch ich; [Impfstoffhersteller] Johnson alle Impfstoffhersteller und ‑entwickler
Präsident Dr. Wolfgang Schäuble||48|
Janosch Dahmen|BÜNDNIS 90/DIE GRÜNEN|49|[Minister] – Herr Minister im zwölften
Jens Spahn||50|[Kollege] Herr Kollege Dahmen wir; [Hersteller] wenn der Hersteller einfach nur
Präsident Dr. Wolfgang Schäuble||51|[Kollege] Nachfrage Herr Kollege
Janosch Dahmen|BÜNDNIS 90/DIE GRÜNEN|52|
Jens Spahn||53|[Kolleginnen] haben mir Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen aus dem
Präsident Dr. Wolfgang Schäuble||54|
Heike Hänsel|DIE LINKE|55|[Präsident] schön Herr Präsident – Herr; [Minister] – Herr Minister Sie haben; [Ministeriums] Auskunft Ihres Ministeriums lediglich Zwischenauswertungen
