Speaker|Party|Speech ID|Gendered Terms
Präsident Dr. Wolfgang Schäuble||1|[Kolleginnen] Morgen liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Bitte nehmen
Präsident Dr. Wolfgang Schäuble||2|[Bauer] Suding Nicole Bauer weiterer Abgeordneter
Franziska Giffey||3|[Präsident] geehrter Herr Präsident Sehr geehrte; [Berichterstattergespräche] Beratungen und Berichterstattergespräche sind wir
Präsident Dr. Wolfgang Schäuble||4|[Kollege] ist der Kollege Johannes Huber
Johannes Huber|AfD|5|[Präsident] geehrter Herr Präsident Liebe Landsleute; [Ministerium] das SPDgeführte Ministerium heute vielmehr; [Alleinverdiener] meistens das Alleinverdiener oder Zuverdienermodell; [Statistik] auf einer Statistik von 1986
Präsident Dr. Wolfgang Schäuble||6|[Kollegin] ist die Kollegin Nadine Schön
Nadine Schön|CDU/CSU|7|[Präsident] geehrter Herr Präsident Liebe Kolleginnen; [Kolleginnen] Präsident Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Wir schließen
Präsident Dr. Wolfgang Schäuble||8|[Kollegin] Frau Kollegin
Nadine Schön|CDU/CSU|9|
Präsident Dr. Wolfgang Schäuble||10|[Kollegen] Wort dem Kollegen Grigorios Aggelidis
Grigorios Aggelidis|FDP|11|[Präsident] geehrter Herr Präsident Liebe Kolleginnen; [Kolleginnen] Präsident Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Sehr geehrte; [Ministerin] geehrte Frau Ministerin Nach zwei
Präsident Dr. Wolfgang Schäuble||12|[Kollege] Herr Kollege achten Sie
Grigorios Aggelidis|FDP|13|[Präsident] Satz Herr Präsident – Auch
Präsident Dr. Wolfgang Schäuble||14|[Kollegin] Wort der Kollegin Katrin Werner
Katrin Werner|DIE LINKE|15|[Präsident] geehrter Herr Präsident Sehr geehrte; [Steigerung] – keine Steigerung Die Linke
Präsident Dr. Wolfgang Schäuble||16|[Kollegin] Wort der Kollegin Ekin Deligöz
Ekin Deligöz|BÜNDNIS 90/DIE GRÜNEN|17|[Präsident] Herr Präsident Liebe Frau; [Ministerin] Liebe Frau Ministerin Liebe Kolleginnen; [Kolleginnen] Ministerin Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Ja das; [Kollegin] hat meine Kollegin von den
Präsident Dr. Wolfgang Schäuble||18|
Stefan Schwartze|SPD|19|[Präsident] geehrter Herr Präsident Liebe Kolleginnen; [Kolleginnen] Präsident Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Meine Damen; [Ministerin] Ich danke Ministerin Franziska Giffey; [Koalitionspartner] danke dem Koalitionspartner für die
Präsident Dr. Wolfgang Schäuble||20|[Kollegen] Wort dem Kollegen Maik Beermann
Maik Beermann|CDU/CSU|21|[Präsident] Herr Präsident Liebe Kolleginnen; [Kolleginnen] Präsident Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Meine sehr; [Kolleginnen] ist liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Eigentlich sagen; [Kollegen] heute alle Kollegen hier am; [Kolleginnen] vergessen Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen ich freue; [Kolleginnen] mir Meine Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen sind schon; [Kolleginnen] vergessen Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen ich finde
Präsident Dr. Wolfgang Schäuble||22|[Kollegin] ist die Kollegin Dr Silke
Silke Launert|CDU/CSU|23|[Präsident] geehrter Herr Präsident Liebe Kolleginnen; [Kolleginnen] Präsident Liebe Kolleginnen und Kollegen; [Kollegen] Kolleginnen und Kollegen Sehr geehrte; [Grundpfeiler] Kernelemente die Grundpfeiler unserer Reform
Präsident Dr. Wolfgang Schäuble||24|[Kollegin] Frau Kollegin
Silke Launert|CDU/CSU|25|[Präsident] lässt der Präsident das Ende
Präsident Dr. Wolfgang Schäuble||26|
Präsident Dr. Wolfgang Schäuble||27|
Präsident Dr. Wolfgang Schäuble||28|
Franziska Giffey||29|[Präsident] geehrter Herr Präsident Sehr geehrte; [Ministerin] als ich Ministerin wurde dieses; [Ansprechpartner] einen festen Ansprechpartner bekommen Das; [Bürgermeisterin] als ehemalige Bürgermeisterin in einem
Präsident Dr. Wolfgang Schäuble||30|[Kollege] Wort der Kollege Johannes Huber
